,corr_with_Offers CS?
rev_per_student_calc,-0.04530559101423041
staff_per_100,-0.057131837412197954
fte_per_100,-0.04386211637955827
librarians_per_100,0.0656643901346926
media_support_per_100,-0.010820393726141261
pct_aian,-0.0432830275309532
pct_asian,0.0802958135660509
pct_hisp,-0.05229429180672215
pct_black,0.05407636789661924
pct_white,-0.026345450368755855
pct_nhpi,0.01024145001317784
pct_two,0.008803753987522298
poverty_rate_5_17,-0.10945671767070494
diplomas_per_100,0.005403649193762197
Pupil/Teacher Ratio [District] 2023-24,-0.015531262934965862
Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,-0.02928812866140163
Estimated Total Population,-0.02031999445119937
