feature,VIF
fte_per_100,39.56342863988502
staff_per_100,37.47350660716265
rev_per_student_calc,16.566561593274123
Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,10.168330988286645
pct_white,9.38881245322907
diplomas_per_100,8.351097108964183
poverty_rate_5_17,6.6325159654684
pct_hisp,3.728403197734645
Pupil/Teacher Ratio [District] 2023-24,3.703337493820193
pct_two,3.6133023560955086
pct_black,2.8011195930991786
librarians_per_100,2.0946710977132907
pct_asian,1.9936969567060245
pct_aian,1.8589694913979615
media_support_per_100,1.540259212019623
Estimated Total Population,1.3396660623766734
pct_nhpi,1.2517845503067624
